"","analysis","U_ppm","Th_ppm","Pb_ppm","Th_U","206Pb_cps","206Pb_204Pb","206Pb_204Pb_1s","208Pb_232Th","208Pb_232Th_2s","207Pb_235U","207Pb_235U_2s","206Pb_238U","206Pb_238U_2s","error_corr","238U_206Pb","238U_206Pb_2s","207Pb_206Pb","207Pb_206Pb_2s","208Pb_232Th_date","208Pb_232Th_date_2s","208Pb_232Th_date_2s_sys","207Pb_206Pb_date","207Pb_206Pb_date_2s","207Pb_206Pb_date_2s_sys","207Pb_235U_date","207Pb_235U_date_2s","207Pb_235U_date_2s_sys","206Pb_238U_date","206Pb_238U_date_2s","206Pb_238U_date_2s_sys","68_75_disc","68_75_disc_2s","68_76_disc","discordant"
"299","MF22-1 94    9/3/2022 12:32:13 PM    (Run: 1)",165.983652743663,140.675988767563,5.67751482994615,0.847529177977641,3122.55614973262,1373.92470588236,25.1089587929621,0.00858616360112663,7.82906477389522,0.176802828982666,7.56970856404943,0.0262914211169532,2.85919992475246,0.366146452660949,38.0352205212362,2.85919992475246,0.0487723715486953,7.00895595184752,172.803993635843,13.4712681524657,14.5938406264534,136.877204536918,164.66729246885,165.50450847797,165.305675244309,11.5476756285074,11.6892745645055,167.295681510442,4.7217837374297,4.97849119622754,-1.20383420786498,7.62497841964781,-22.2231868896187,"no"
"300","MF22-1 288    9/3/2022 8:13:43 PM    (Run: 1)",231.889925850999,118.699553602964,7.6129793188563,0.511878871698958,3243.10160427807,165.023129251701,3.06119730902521,0.0113816873734656,10.7204068791753,0.174352903120959,12.3991102144983,0.0263484092666831,3.60578569622123,0.287925034144242,37.9529553332266,3.60578569622123,0.047992514827155,11.8632307414212,228.749015348101,24.3845798438764,25.3046549906187,98.9177750727751,280.679371659259,280.936495468268,163.189597548491,18.6917941074867,18.7392884441368,167.653629564737,5.96729769305768,6.08642476142088,-2.73548809685611,12.3224162403138,-69.4878695374941,"no"
"301","MF22-1 46    9/2/2022 8:09:57 PM    (Run: 1)",269.116600506251,345.336384514481,9.73105410769827,1.28322215673373,3298.50802139037,118.768332335668,3.19793406969963,0.00709215459234129,8.98827724163393,0.175477669139884,11.8805836039407,0.0264298379989264,3.57790944018319,0.295267534989381,37.836024573462,3.57790944018319,0.0481533028841782,11.3290260308674,142.841737752565,12.7937506499567,13.7091897488082,106.779852418472,267.653233413819,268.174711668152,164.161640771691,18.0084012811383,18.0956030872699,168.165056783277,5.93899257476199,6.13740892496535,-2.43870370250157,11.805440328651,-57.4876280257776,"no"
"302","MF22-1 265    9/3/2022 7:03:33 PM    (Run: 1)",412.688791241612,399.518469917454,14.6809785508134,0.968086554314853,6664.08556149733,3115.46,48.151903194474,0.00866942463257574,7.03463247192138,0.183068331597653,6.39138141594248,0.0264406950380792,2.93924820297025,0.452892792691434,37.8204884009223,2.93924820297025,0.0502156492005023,5.67543623040476,174.472482440259,12.2206772063318,13.0368134378992,205.004841746467,131.676556975299,132.21181785006,170.697410378247,10.042180901904,10.1441269882402,168.233243227619,4.88082764562079,5.03960011111065,1.44358789343501,6.46481723023261,17.9369414915205,"no"
"303","MF22-1 290    9/3/2022 8:16:56 PM    (Run: 1)",165.615572618983,102.097344406156,5.7957716813836,0.616471886016678,2752.01069518717,2752.01069518717,83.2862242853485,0.0124167725882533,12.8567737990288,0.195338651737816,10.5179060989367,0.026550465098833,3.3984656363167,0.319503699510565,37.664123633147,3.3984656363167,0.0533598718406249,9.95373196468666,249.424291506108,31.8708642302902,32.7099411055426,344.161096470535,225.226604301785,225.519643395672,181.17432686351,17.4524508249766,17.5140424511051,168.922601555923,5.6662132790688,5.79337751811234,6.76239593086339,9.51048331232541,50.9175780504333,"no"
"304","MF22-1 342    9/3/2022 10:14:43 PM    (Run: 1)",182.125362040895,85.9022158904173,6.01251548594525,0.471665312989898,2998.11229946524,190.049830508475,5.16678806080422,0.0124019908622288,10.7600135040902,0.168739196153254,16.6368634623962,0.0265570603804056,5.96009277211239,0.356942830152293,37.6547699811619,5.96009277211239,0.0460823587029078,15.5326275952985,249.129183202923,26.6418067892634,27.570751455108,1.95082391157049,374.262176818522,374.462603287547,158.324168802345,24.3893221258715,24.4242611163898,168.964017717656,9.9395822537731,10.0141673228006,-6.72029355707131,17.5978397311257,-8561.16191807561,"no"
"305","MF22-1 251    9/3/2022 6:37:30 PM    (Run: 1)",139.961766083271,203.946745469201,5.44414430666758,1.45716041728041,2087.4064171123,48.6411214953271,1.16227344149274,0.00802853010884601,9.26735932670722,0.181351574870714,15.5847114140728,0.0265667140016187,3.14568067158888,0.199172452386623,37.6410872620179,3.14568067158888,0.0495087790456407,15.2639419211527,161.625883837682,14.9187233402526,15.5165147451899,172.016389217981,356.285973631945,356.486200108158,169.222912562815,24.2924234180258,24.3340001756149,169.024638749348,5.24787523607188,5.39694785265307,0.117167238445481,14.669991585536,1.73922408337608,"no"
"306","MF22-1 88    9/3/2022 12:15:55 PM    (Run: 1)",672.323640436724,752.389417008365,24.8810425660172,1.119088147071,12522.0855614973,357.856962245655,5.22026892304637,0.00843363659552356,3.28023733028564,0.184138264257881,3.79094960235009,0.0266492639532579,2.57681967698372,0.654097369463255,37.5244885469998,2.57681967698372,0.0501138249797598,2.78052139712462,169.747109199441,5.54479211643314,7.8539791962183,200.244978872175,64.5686863034608,66.627020317367,171.615278355805,5.98576347021752,6.2751129985388,169.542997446124,4.31186695449191,4.60156665631171,1.20751539695898,4.26452236400075,15.3322103749971,"no"
"307","MF22-1 138    9/3/2022 1:58:18 PM    (Run: 1)",173.470681802408,99.4657854762319,6.11163417552086,0.573386721276211,4436.93582887701,163.489064039409,2.59766865725062,0.0137324592955462,9.84668032063037,0.181211099405469,9.57847535530382,0.0266649137001716,4.71389465599072,0.486586656391362,37.5024652711913,4.71389465599072,0.0492882431259645,8.33824845542425,275.673943848919,26.9604568880778,28.2823562537605,161.584603450692,195.002518343586,195.703783121382,169.102165368651,14.920506731715,15.0381999433776,169.641262730172,7.89240822615422,8.05972867647511,-0.318799797947644,10.0066055250131,-4.98603153235344,"no"
"308","MF22-1 224    9/3/2022 5:35:27 PM    (Run: 1)",344.730804129584,168.359359679542,10.8685609939442,0.48837921550015,6665.36898395722,660.363852186403,11.7948795014041,0.0083349442759757,6.56891430644557,0.184539387855659,4.73871321435607,0.0267118039588383,2.77028312084871,0.574669955614073,37.4366329410382,2.77028312084871,0.0501054056158701,3.84459807499478,167.768911343172,10.9749846238108,11.8896527260671,199.872989918346,89.2838201200536,90.0683190004432,171.959178343188,7.49600566735492,7.63521485225208,169.935679264581,4.64619063436102,4.81882431437634,1.17673223267464,5.08509465655814,14.9781672180893,"no"
