"","Timestamp","Comment","X","Y","U ppm","Th ppm","207Pb/235U...7","2s...8","206Pb/238U...9","2s...10","rho...11","238U/206Pb","2s...13","207Pb/206Pb...14","2s...15","rho...16","208Pb/232Th","2s...18","206Pb/238U...19","2s...20","207Pb/235U...21","2s...22","207Pb/206Pb...23","2s...24","Best Age","2s...26","Concordance","6/8 - 7/6","6/8 - 7/5","U238_CPS","U238_CPS_Int2SE","Th232_CPS","Th232_CPS_Int2SE","Pb208_CPS","Pb208_CPS_Int2SE","Pb207_CPS","Pb207_CPS_Int2SE","Pb206_CPS","Pb206_CPS_Int2SE","Pb204_CPS","Pb204_CPS_Int2SE","206Pb/204Pb","2s","discordant"
"150","45032.663525138887","MF22-18-105",40127,14529,228,176.3,0.120073348728346,0.00500720480907262,0.0177361565788229,0.000575657015939179,0.80766,56.3820011148305,1.78663100999827,0.0491004908751309,0.00139734605592172,-0.299109341703625,0.00549,0.000228157927760576,113.332514569001,3.67839880391971,115.138522,4.539195,152.632318469127,66.665864451524,113.216036112241,3.5722778516169,0.984314483921267,25.7480226300008,1.56855186225071,23.19,0.78,6.8,0.19,4756.86,99.36,909.144,31.671,20803.5,490.59,26.3304,5.5269,790.094339622641,166.888613104541,"no"
"151","45032.688755011572","MF22-18-156",46790,14203,168.7,65.7,0.170780379295791,0.0115134703716994,0.0177802276598493,0.00071754124620122,0.69195,56.2422494880741,2.19994318113015,0.0696625522194793,0.00303404943928078,-0.554679372020997,0.00841,0.000335248027585547,113.611657929374,4.58492726714166,160.095971,9.985291,918.423053540322,89.5679579657363,110.545479458769,4.32580289572429,0.709647201092029,87.6297031644158,29.0352797639276,17.02,0.64,2.549,0.07,2695.14,136.62,962.55,62.1,15108.93,565.11,31.05,6.831,486.6,108.588078093316,"no"
"152","45032.701821921299","MF22-18-183",41190,13975,97.2,45,0.123956978728147,0.00694993525149695,0.0178333889831699,0.000693460424249286,0.77766,56.0745913714852,2.08893536597738,0.0504122202627266,0.00195826045254455,-0.22975794259231,0.00578,0.000266389489282141,113.948362209468,4.43094016930053,118.65307,6.278574,214.044500587385,89.9769562718252,113.644330162752,4.21826108997213,0.960349046196945,46.7641719844383,3.9650957118359,9.86,0.47,1.765,0.063,1298.511,47.817,401.166,19.872,9010.71,378.81,11.799,6.831,763.684210526316,443.297085223967,"no"
"153","45032.726519085649","MF22-18-235",39314,13850,59.9,26.36,0.126184035230985,0.0112805141726785,0.0178338248943936,0.000746156123073449,0.66089,56.0732207432614,2.22320091989208,0.0513166903233427,0.0033490512089247,-0.497981319899968,0.00569,0.000320858909803047,113.951123038229,4.76764399614576,120.663002,10.170667,255.080801225865,150.046867628817,113.51694837788,4.50039160123647,0.944375000903626,55.3274403676782,5.56249956533605,6.19,0.16,1.033,0.032,733.401,32.292,252.747,19.251,5545.53,136.62,16.6428,3.8502,333.208955223881,77.521512954753,"no"
"154","45032.636382881945","MF22-18-47",38029,15171,226.1,174.4,0.11836053853631,0.00430241048715717,0.017854969092306,0.000546543648760097,0.85806,56.0068177564594,1.67381919009648,0.0480780179239884,0.00126586294676794,-0.129682501218193,0.00547,0.000193825591705533,114.085037669678,3.492162458225,113.584615,3.906249,103.109963652538,62.2460299335734,114.117296992118,3.39537199463296,1.00440572637405,-10.6440479933874,-0.440572580783094,23.28,0.37,6.71,0.13,4607.82,105.57,919.08,31.05,20828.34,509.22,21.114,7.452,986.470588235294,349.000411319883,"no"
"155","45032.730364814815","MF22-18-242",40107,13748,266,210.5,0.187467239158488,0.0164312994008386,0.0180001984528443,0.00076230240718497,0.33797,55.5549430535298,2.30642567756366,0.075534753378679,0.00559755982549539,-0.110004081621652,0.00487,0.000401978556642018,115.004757918885,4.87041318066344,174.465826,14.050125,1082.7662770078,148.629301723328,111.052212053207,4.6624369514443,0.659182148930615,89.3786165711867,34.0817852093941,27.7,1.4,8.36,0.38,5328.18,366.39,1713.96,124.2,24902.1,1117.8,66.447,9.936,374.766355140187,58.5103115746904,"yes"
"156","45032.706329490742","MF22-18-194",42411,13890,501,195,0.122324856894231,0.00443321147702205,0.0180958994067381,0.000658990895233007,0.87311,55.2611383122325,2.00044252316095,0.049026768464289,0.00126956754841954,0.273424261944806,0.00608,0.000225580495610769,115.610748949981,4.21014889819393,117.177539,4.010789,149.111315848135,60.7001885673987,115.50950729067,4.160701628075,0.986628924398115,22.4668172952569,1.33710783089472,50.8,2,7.67,0.54,5974.02,322.92,2055.51,68.31,45767.7,1552.5,13.662,6.831,3350,1678.85026823136,"no"
"157","45032.647599895834","MF22-18-72",44247,14650,408,230,0.123129961276713,0.00530301197434062,0.0181386582060388,0.000659984121021105,0.86655,55.1308695847786,1.98373581736239,0.04923311457155,0.00113598114420971,-0.534323102946161,0.00577,0.000239618780566132,115.881484881882,4.21640559481557,117.905667,4.79427,158.947443749821,53.9875581356588,115.750626835385,4.14351137612789,0.982832191555398,27.0944645927892,1.71678102471353,41.4,2,8.9,0.39,6377.67,298.08,1627.02,68.31,36514.8,1614.6,22.356,5.8995,1633.33333333333,437.027473608485,"no"
"158","45032.679558333337","MF22-18-136",44252,14234,671,563,0.147498603478667,0.0072292807387734,0.0182619970938239,0.000579417811255401,0.50166,54.7585236632302,1.73966708723714,0.0585785158752538,0.00232113851374708,-0.144033242965513,0.00528,0.000280626727166177,116.662366143463,3.70147101105288,139.700915,6.396948,551.466799938736,86.4948482367337,115.15631674435,3.65411059682164,0.835086629971882,78.8450789500976,16.4913371229798,68.2,1.7,22,1.9,14966.1,993.6,3434.13,217.35,62845.2,1987.2,49.68,9.315,1265,240.536712699434,"no"
"159","45032.725292175928","MF22-18-232",38505,14040,35.3,11.31,0.150600654444505,0.0133371811114643,0.0185438093723817,0.000815529889090523,0.55479,53.9263524510425,2.22383343082929,0.0589015373580797,0.0055227677843632,0.356412954834144,0.00709,0.000891351356088047,118.446216793351,5.20909313210152,142.442112,11.769807,563.458613977543,204.256645650869,116.874362135206,4.86245334443088,0.831539317529229,78.9787193140557,16.8460681112686,3.63,0.12,0.442,0.029,411.723,52.164,178.848,16.146,3458.97,93.15,25.461,7.452,135.853658536585,39.9300040563222,"no"
