localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, timedate, notes
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 1b3c6ba596eb030c3368a581f2a6d785, 544424.17306349, 4170845.87288434, 37.68374189, -122.49617217, 10S, 7.86191245, 7.71186840, -1.00000000, Thu Jun  1 12:51:44 2023, MF-7
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, e662e40f8415316b41b4fc32b6cb963f, 544423.43798966, 4170833.87703607, 37.68363381, -122.49618124, 10S, 6.96851726, 4.84734099, -1.00000000, Thu Jun  1 12:28:52 2023, Conglomerate here may be C2 in Clifton and Hunter 870 ft in Hall section
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, d8c40e4668a250dea9b62d1c0a3da7e2, 544425.77077706, 4170833.49938557, 37.68363029, -122.49615481, 10S, 11.18179102, 9.28479671, -1.00000000, Thu Jun  1 12:25:18 2023, Beach access point
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 537be373ac35b2e83187ea9506bf5f29, 544316.34192462, 4171534.27558224, 37.68995171, -122.49735320, 10S, 11.16195555, 11.57968142, -1.00000000, Mon Mar 27 15:49:36 2023, MF6
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 8ca36f2fa528d59112fc52a0225660cb, 544291.02485178, 4171673.15466438, 37.69120465, -122.49763190, 10S, 0.00000000, -1.00000000, -1.00000000, Mon Mar 27 14:30:03 2023, MF5
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, a11e5f2efe7d7fe483b07cc2caa7fd3b, 544271.13316005, 4171810.66841748, 37.69244503, -122.49784916, 10S, 13.90525262, 10.11436571, -1.00000000, Mon Mar 27 13:53:03 2023, site MF4
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, ca2a7d24102c413bae22b3f1bb7cf4c0, 544281.92864159, 4171825.63803599, 37.69257943, -122.49772580, 10S, 0.00000000, -1.00000000, -1.00000000, Mon Mar 27 13:48:42 2023, 0.6 m thick shell and pebble bed  likely the one at 4300 feet on Hall’s section
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, d7174eb101df15408ad0fedb24bfc304, 544242.40934284, 4171920.04059995, 37.69343219, -122.49816831, 10S, 0.00000000, -1.00000000, -1.00000000, Mon Mar 27 13:43:16 2023, using base of MF3 as a marker point to measure up to from lower in the section
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 9211cbbfd0e099d78dbd35894b9c4241, 544242.40934284, 4171920.04059995, 37.69343219, -122.49816831, 10S, 6.81344373, 6.37508530, -1.00000000, Mon Mar 27 12:59:17 2023, Location of MF3
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 1bbc81170addc9134df9b3d2bc475e22, 544224.01355067, 4172090.60922981, 37.69497042, -122.49836660, 10S, 7.21243758, 6.67022046, -1.00000000, Mon Mar 27 11:36:29 2023, Location of MF2
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, f86464054890ba0bda6da9a2d9eb49eb, 544095.41100798, 4172668.89893906, 37.70018875, -122.49979027, 10S, 0.00000000, -1.00000000, -1.00000000, Mon Mar 27 11:02:21 2023, beach access point
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 16df6ac9765161fe4895d03f9f42dae1, 544451.26714701, 4172442.48332460, 37.69813087, -122.49576747, 10S, 0.00000000, -1.00000000, -1.00000000, Mon Mar 27 10:48:54 2023, Field day with Nick  Yiming  Ethan to collect pmag samples
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, b80755fdf864fd4a06d3d619bdbbdee6, 544043.89063344, 4172870.80843479, 37.70201104, -122.50036247, 10S, 80.36847977, 77.70474624, -1.00000000, Sun Mar 12 14:39:37 2023, MF1-2
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, bc8bdc9a89edf6704428eaeef2863ae8, 544366.71408136, 4171139.92167106, 37.68639495, -122.49680591, 10S, 7.03754628, 8.24652895, -1.00000000, Sun Mar 12 14:01:33 2023, MF1-1
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 719f95c15df653f17ed49d5b9f51123f, 544365.20150902, 4171320.18318645, 37.68801972, -122.49681208, 10S, 3.28364597, 4.80022980, -1.00000000, Sun Mar 12 12:28:51 2023, think we are in sequence F or G here
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 16f748aa829f036d6c161bfa284ac71b, 544345.98367875, 4171397.91697281, 37.68872127, -122.49702531, 10S, 0.00000000, -1.00000000, -1.00000000, Sun Mar 12 12:10:09 2023, Sequence G peat beds (3500 on Hall section)
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 90773f8f2a52d427746c4d883285195d, 560421.13983031, 4189620.86639360, 37.85203899, -122.31319292, 10S, 0.00000000, -1.00000000, -1.00000000, Sun Mar 12 10:34:47 2023, Yiming found lignite bed here  provenance change is located just below this bed
8fac3658fb64627b2c8e5b985a5b883b, Locality 3, 4d17d8a00402451314df9dced3fdae90, 544239.22009669, 4171918.18619109, 37.69341563, -122.49820459, 10S, 0.00000000, -1.00000000, -1.00000000, Thu Dec  8 15:05:27 2022, possible location of provenance change (C&H P/Q)
8fac3658fb64627b2c8e5b985a5b883b, Locality 3, 3b839ad597e8d8f943515e8dbf095857, 543927.29468734, 4173355.11004840, 37.70638165, -122.50165588, 10S, 3.34851723, 4.75520445, -1.00000000, Thu Dec  8 14:21:16 2022, collected sandstone sample here — Yiming thinks there are serpentine clasts but idk
8fac3658fb64627b2c8e5b985a5b883b, Locality 3, 8d4f437ff4d6ec20218f98f8b99ba247, 544503.91726753, 4169888.58646070, 37.67510996, -122.49532626, 10S, 0.00000000, -1.00000000, -1.00000000, Sun Sep 25 14:18:09 2022, foram rich bed directly above lignite
e0d706f739b8c96e94b5dd213494f429, Locality 2, a19136e8a410bba520ee7fbe564688cd, 544510.46323754, 4169815.42257099, 37.67445022, -122.49525650, 10S, 0.00000000, -1.00000000, -1.00000000, Sun Sep 25 13:47:05 2022, thin (couple cm) lignite
e0d706f739b8c96e94b5dd213494f429, Locality 2, 635dd4962cd0ef931c1a33e3641049ad, 527502.50068142, 4195248.08308471, 37.90434473, -122.68715645, 10S, 0.00000000, -1.00000000, -1.00000000, Thu Aug 18 13:16:03 2022, Silty facies is exposed here  some dispersed mollusk fossils and looks to be some forams too!
e0d706f739b8c96e94b5dd213494f429, Locality 2, 0ab72fe062110610f2d315256e2799d2, 527429.65595278, 4195206.50134946, 37.90397216, -122.68798663, 10S, 3.34020256, 4.76104862, -1.00000000, Thu Aug 18 11:50:58 2022, Over here is something different — highly deformed mudstone and conglomerate with Monterey (?) clasts
e0d706f739b8c96e94b5dd213494f429, Locality 2, 4b9c05584ddf536f0ca87ecfabab7bd3, 527505.73326714, 4195243.73653088, 37.90430546, -122.68711984, 10S, 3.35598458, 4.74993732, -1.00000000, Thu Aug 18 11:50:26 2022, Merced here  fine sand
e0d706f739b8c96e94b5dd213494f429, Locality 2, 9b24f27674f6f1fa9843f99748947640, 527759.85923720, 4195366.19539480, 37.90540145, -122.68422446, 10S, 8.36471482, 7.14069762, -1.00000000, Thu Aug 18 10:56:12 2022, some potential forams here  may be worth sampling 
