localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 9ea0e83cd6ca5de01a1f5be8135b75fc, 544504.75518794, 4170053.99192949, 37.67660073, -122.49530666, 10S, 3.34769101, 4.75578615, -1.00000000, Bedding, 53.19443893, 11.13467884, 281.13467407, 13.11635399, Merced, Wed Nov  8 11:44:07 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 1214c1a9f74a3a24dd267f9c54abde7b, 544504.91893871, 4170055.96001904, 37.67661846, -122.49530468, 10S, 3.35419705, 4.75119977, -1.00000000, Bedding, 62.92422867, 359.22988892, 269.22988892, 13.11635399, Merced, Wed Nov  8 11:43:53 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 4076d1dd486461ac8e07e783cff65652, 544505.49598732, 4170051.50997718, 37.67657832, -122.49529841, 10S, 3.33690713, 4.76335888, -1.00000000, Bedding, 67.86251068, 11.07092381, 281.07092285, 13.11635399, Merced, Wed Nov  8 11:42:14 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6f9551d203df95acdf064e33f66096fe, 544505.44628111, 4170051.45580260, 37.67657784, -122.49529897, 10S, 3.33379828, 4.76553523, -1.00000000, Bedding, 56.24290466, 12.11635399, 282.11636353, 13.11635399, Merced, Wed Nov  8 11:41:25 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, ea66e510ed214c72dec8d9d30c152369, 544505.67045515, 4170050.16543564, 37.67656620, -122.49529651, 10S, 3.25566596, 4.81925058, -1.00000000, Bedding, 61.92622375, 10.97238445, 280.97238159, 13.11635399, Merced, Wed Nov  8 11:40:14 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 722dd4be000dcc5d032cc165d998f05d, 544506.29722973, 4169839.52203715, 37.67466763, -122.49530226, 10S, 3.28982618, 4.79599632, -1.00000000, Bedding, 35.35458374, 6.31624413, 276.31625366, 13.11635399, Merced, Wed Nov  8 11:11:05 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 5c906ef959521f71e4a364bcd2d1da50, 544341.99198425, 4171384.49109826, 37.68860045, -122.49707140, 10S, 3.33760553, 4.76286955, -1.00000000, Bedding, 68.59271240, 40.71900558, 310.71899414, 13.11635399, Merced, Thu Jun  1 18:30:39 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6fb9a154fe7ec1b2f0e7b046e74e00d0, 544345.90076824, 4171385.42589286, 37.68860869, -122.49702701, 10S, 3.60625598, 4.56283408, -1.00000000, Bedding, 68.27737427, 44.52890396, 314.52890015, 13.11635399, Merced, Thu Jun  1 18:30:09 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 4f3587ee20c8a30c25ddd43cb606e599, 544346.55587926, 4171388.67037597, 37.68863790, -122.49701939, 10S, 4.00000000, 3.70536628, -1.00000000, Bedding, 68.65573120, 43.73078156, 313.73077393, 13.11635399, Merced, Thu Jun  1 18:29:55 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6e0103fe51d880bad1de0488f7272cdf, 544348.09288197, 4171376.31459187, 37.68852646, -122.49700271, 10S, 3.60625593, 4.56283412, -1.00000000, Bedding, 67.79747009, 36.58356857, 306.58355713, 13.11635399, Merced, Thu Jun  1 18:27:03 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 3b3e249c9df0d1964483788f06d60931, 544348.09288197, 4171376.31459187, 37.68852646, -122.49700271, 10S, 3.60625593, 4.56283412, -1.00000000, Bedding, 69.51972961, 41.34165192, 311.34164429, 13.11635399, Merced, Thu Jun  1 18:26:56 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e4b738f33e26c7c9baf204547034c1e7, 544346.76498141, 4171391.01968820, 37.68865907, -122.49701687, 10S, 3.60625595, 4.56283410, -1.00000000, Bedding, 69.45878601, 37.61289597, 307.61288452, 13.11635399, Merced, Thu Jun  1 18:12:35 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 9a854d78fdfed6c726e0b18f3d2726b1, 544343.23754921, 4171390.05683072, 37.68865056, -122.49705694, 10S, 3.00000000, 3.53553391, -1.00000000, Bedding, 70.39518738, 37.34498978, 307.34500122, 13.11635399, Merced, Thu Jun  1 18:12:28 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, b99468a7a970e8147471d6b1b9a4132d, 544364.68582010, 4171223.24590266, 37.68714605, -122.49682384, 10S, 3.60625566, 4.56283433, -1.00000000, Bedding, 70.67803955, 33.95179367, 303.95178223, 13.11635399, Merced, Thu Jun  1 17:57:55 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 450606580000550388179113a9a98865, 544378.45521139, 4171107.49598949, 37.68610212, -122.49667472, 10S, 3.00000000, 3.53553391, -1.00000000, Bedding, 60.27230835, 38.48368073, 308.48367310, 13.11635399, Merced, Thu Jun  1 15:43:52 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 4920354c10e07122260b224d0806296f, 544364.79521165, 4171141.15694110, 37.68640617, -122.49682759, 10S, 3.39016948, 4.72559922, -1.00000000, Bedding, 60.58920670, 35.62102890, 305.62103271, 13.11635399, Merced, Thu Jun  1 15:41:22 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, b97a1479627a4a666dd5c45801c2076f, 544364.79521165, 4171141.15694110, 37.68640617, -122.49682759, 10S, 3.39016948, 4.72559922, -1.00000000, Bedding, 61.53139496, 39.44921494, 309.44921875, 13.11635399, Merced, Thu Jun  1 15:41:08 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, cdb836480f83ca91aa5a54215d5b6788, 544364.79521165, 4171141.15694110, 37.68640617, -122.49682759, 10S, 3.39016948, 4.72559922, -1.00000000, Bedding, 57.66991806, 30.39068794, 300.39068604, 13.11635399, Merced, Thu Jun  1 15:40:43 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e2ffe57a958c2103a944523fc8b6cb61, 544364.79521165, 4171141.15694110, 37.68640617, -122.49682759, 10S, 3.39016948, 4.72559922, -1.00000000, Bedding, 63.19487381, 34.86744690, 304.86743164, 13.11635399, Merced, Thu Jun  1 15:40:26 2023, 
