tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
MF16-4a	MF16-4		This study	LP-NOMAG		
MF16-5a	MF16-5		This study	LP-NOMAG		
MF16-6a	MF16-6		This study	LP-NOMAG		
MF16-7a	MF16-7		This study	LP-NOMAG		
MF16-8a	MF16-8		This study	LP-NOMAG		
MF16-9a	MF16-9		This study	LP-NOMAG		
MF16-10a	MF16-10		This study	LP-NOMAG		
MF16-11a	MF16-11		This study	LP-NOMAG		
MF16-12a	MF16-12		This study	LP-NOMAG		
MF16-13a	MF16-13		This study	LP-NOMAG		
MF16-14a	MF16-14		This study	LP-NOMAG		
MF16-15a	MF16-15		This study	LP-NOMAG		
MF16-16a	MF16-16		This study	LP-NOMAG		
MF16-17a	MF16-17		This study	LP-NOMAG		
MF16-18a	MF16-18		This study	LP-NOMAG		
MF16-19a	MF16-19		This study	LP-NOMAG		
MF16-20a	MF16-20		This study	LP-NOMAG		
MF16-21a	MF16-21		This study	LP-NOMAG		
MF16-21b	MF16-21		This study	LP-NOMAG		
MF16-22a	MF16-22		This study	LP-NOMAG		
MF16-22b	MF16-22		This study	LP-NOMAG		
MF16-23a	MF16-23		This study	LP-NOMAG		
MF16-23b	MF16-23		This study	LP-NOMAG		
MF16-24a	MF16-24		This study	LP-NOMAG		
MF16-24b	MF16-24		This study	LP-NOMAG		
MF16-25a	MF16-25		This study	LP-NOMAG		
MF16-25b	MF16-25		This study	LP-NOMAG		
MF16-26a	MF16-26		This study	LP-NOMAG		
MF16-26b	MF16-26		This study	LP-NOMAG		
MF16-28a	MF16-28		This study	LP-NOMAG		
MF16-28b	MF16-28		This study	LP-NOMAG		
MF16-29a	MF16-29		This study	LP-NOMAG		
MF16-29b	MF16-29		This study	LP-NOMAG		
MF16-30a	MF16-30		This study	LP-NOMAG		
MF16-30b	MF16-30		This study	LP-NOMAG		
MF16-31a	MF16-31		This study	LP-NOMAG		
MF16-31b	MF16-31		This study	LP-NOMAG		
MF16-32a	MF16-32		This study	LP-NOMAG		
MF16-32b	MF16-32		This study	LP-NOMAG		
MF16-33a	MF16-33		This study	LP-NOMAG		
MF16-34a	MF16-34		This study	LP-NOMAG		
MF16-34b	MF16-34		This study	LP-NOMAG		
MF16-35a	MF16-35		This study	LP-NOMAG		
MF16-35b	MF16-35		This study	LP-NOMAG		
MF16-36a	MF16-36		This study	LP-NOMAG		
MF16-36b	MF16-36		This study	LP-NOMAG		
MF16-37a	MF16-37		This study	LP-NOMAG		
MF16-37b	MF16-37		This study	LP-NOMAG		
MF16-38a	MF16-38		This study	LP-NOMAG		
MF16-38b	MF16-38		This study	LP-NOMAG		
