tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
MF8-57	MF8	109					  185.5	    0.0	   60.0	  394.0	  -29.0	This study	SO-CMD-NORTH
MF8-58	MF8	111.7					  152.1	    0.0	   60.0	  394.0	  -28.0	This study	SO-CMD-NORTH
MF8-59	MF8	118.4					  129.8	    0.0	   60.0	  394.0	  -25.0	This study	SO-CMD-NORTH
MF8-60	MF8	121.3					   65.5	    0.0	   60.0	  394.0	  -39.0	This study	SO-CMD-NORTH
MF8-61	MF8	122.7					   96.9	    0.0	   60.0	  394.0	  -38.0	This study	SO-CMD-NORTH
MF8-62	MF8	124.7					  109.8	    0.0	   60.0	  394.0	  -46.0	This study	SO-CMD-NORTH
MF8-63	MF8	124.2					   51.5	    0.0	   60.0	  394.0	  -36.0	This study	SO-CMD-NORTH
MF8-64	MF8	127.3					  114.1	    0.0	   60.0	  394.0	  -36.0	This study	SO-CMD-NORTH
MF8-65	MF8	129.2					   95.8	    0.0	   60.0	  394.0	  -31.0	This study	SO-CMD-NORTH
MF8-66	MF8	153.7					   85.2	    0.0	   60.0	  394.0	  -26.0	This study	SO-CMD-NORTH
MF8-67	MF8	154.9					   95.0	    0.0	   60.0	  394.0	  -37.0	This study	SO-CMD-NORTH
MF8-68	MF8	162.3					   73.4	    0.0	   60.0	  394.0	  -29.0	This study	SO-CMD-NORTH
MF8-69	MF8	18.8					   10.1	    0.0	   60.0	  394.0	  -49.0	This study	SO-CMD-NORTH
MF8-70	MF8	18.88					    0.2	    0.0	   60.0	  394.0	  -41.0	This study	SO-CMD-NORTH
MF8-71	MF8	19.08					  -19.7	    0.0	   60.0	  394.0	  -49.0	This study	SO-CMD-NORTH
MF8-72	MF8	19.31					   18.5	    0.0	   60.0	  394.0	  -47.0	This study	SO-CMD-NORTH
MF8-73	MF8	19.48					   -4.4	    0.0	   60.0	  394.0	  -48.0	This study	SO-CMD-NORTH
MF8-75	MF8	20.01					   23.2	    0.0	   60.0	  394.0	  -63.0	This study	SO-CMD-NORTH
MF8-76	MF8	20.4					   11.9	    0.0	   60.0	  394.0	  -57.0	This study	SO-CMD-NORTH
MF8-77	MF8	20.53					    1.0	    0.0	   60.0	  394.0	  -51.0	This study	SO-CMD-NORTH
MF8-78	MF8	20.53					   14.8	    0.0	   60.0	  394.0	  -56.0	This study	SO-CMD-NORTH
MF9-1	MF9	0					   56.4	    0.0	   69.0	  400.0	  -43.0	This study	SO-CMD-NORTH
MF9-2	MF9	2.7					   72.8	    0.0	   69.0	  400.0	  -38.0	This study	SO-CMD-NORTH
MF9-3	MF9	8.5					   78.3	    0.0	   69.0	  400.0	  -44.0	This study	SO-CMD-NORTH
MF9-4	MF9	12.6					   81.7	    0.0	   69.0	  400.0	  -53.0	This study	SO-CMD-NORTH
MF9-5	MF9	14.4					   85.5	    0.0	   69.0	  400.0	  -32.0	This study	SO-CMD-NORTH
MF9-6	MF9	16.5					   86.2	    0.0	   69.0	  400.0	  -36.0	This study	SO-CMD-NORTH
MF9-7	MF9	19.1					  103.8	    0.0	   69.0	  400.0	  -33.0	This study	SO-CMD-NORTH
MF9-8	MF9	22					  101.5	    0.0	   69.0	  400.0	  -40.0	This study	SO-CMD-NORTH
MF10-1	MF10	0					   95.1	    0.0	   35.0	  374.0	  -55.0	This study	SO-CMD-NORTH
MF10-2	MF10	0.3					   99.3	    0.0	   35.0	  374.0	  -56.0	This study	SO-CMD-NORTH
MF10-3	MF10	0.4					   98.8	    0.0	   35.0	  374.0	  -40.0	This study	SO-CMD-NORTH
MF10-4	MF10	0.9					  109.1	    0.0	   35.0	  374.0	  -42.0	This study	SO-CMD-NORTH
MF11-1	MF11	0					  105.1	    0.0	   57.0	  372.0	  -57.0	This study	SO-CMD-NORTH
MF11-2	MF11	0.11					  121.0	    0.0	   57.0	  372.0	  -52.0	This study	SO-CMD-NORTH
MF11-3	MF11	2.31					   92.7	    0.0	   57.0	  372.0	  -57.0	This study	SO-CMD-NORTH
MF11-4	MF11	2.37					   83.3	    0.0	   57.0	  372.0	  -62.0	This study	SO-CMD-NORTH
MF11-5	MF11	2.43					   86.9	    0.0	   57.0	  372.0	  -56.0	This study	SO-CMD-NORTH
MF12-1	MF12	0					  104.2	    0.0	   66.0	  390.0	  -47.0	This study	SO-CMD-NORTH
MF12-2	MF12	0.05					   97.8	    0.0	   66.0	  390.0	  -44.0	This study	SO-CMD-NORTH
MF12-3	MF12	0.21					   99.7	    0.0	   66.0	  390.0	  -50.0	This study	SO-CMD-NORTH
MF12-4	MF12	0.28					   95.0	    0.0	   66.0	  390.0	  -48.0	This study	SO-CMD-NORTH
MF12-5	MF12	0.48					  150.6	    0.0	   66.0	  390.0	  -35.0	This study	SO-CMD-NORTH
MF12-6	MF12	0.85					   87.9	    0.0	   66.0	  390.0	  -43.0	This study	SO-CMD-NORTH
MF12-7	MF12	1.12					   89.5	    0.0	   66.0	  390.0	  -31.0	This study	SO-CMD-NORTH
MF12-8	MF12	4.22					   -4.6	    0.0	   66.0	  390.0	  -26.0	This study	SO-CMD-NORTH
MF12-9	MF12	4.82					   63.5	    0.0	   66.0	  390.0	  -25.0	This study	SO-CMD-NORTH
MF12-10	MF12	8.52					   50.8	    0.0	   66.0	  390.0	  -27.0	This study	SO-CMD-NORTH
MF12-11	MF12	9.92					   80.0	    0.0	   66.0	  390.0	  -35.0	This study	SO-CMD-NORTH
MF12-12	MF12	11.82					  100.6	    0.0	   66.0	  390.0	  -39.0	This study	SO-CMD-NORTH
MF12-13	MF12	15.92					  116.4	    0.0	   66.0	  390.0	  -32.0	This study	SO-CMD-NORTH
MF13-1	MF13	1.7					  108.1	    0.0	   64.0	  392.0	  -58.0	This study	SO-CMD-NORTH
MF13-2	MF13	3.2					   73.7	    0.0	   64.0	  392.0	  -51.0	This study	SO-CMD-NORTH
