tab	sites											
age_high	age_low	age_unit	citations	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site
773	598	ka	This study	Sedimentary	Sediment Layer	1080.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-64
773	598	ka	This study	Sedimentary	Sediment Layer	1082.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-65
773	598	ka	This study	Sedimentary	Sediment Layer	1106.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-66
773	598	ka	This study	Sedimentary	Sediment Layer	1107.95	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-67
773	598	ka	This study	Sedimentary	Sediment Layer	1115.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-68
773	598	ka	This study	Sedimentary	Sediment Layer	971.85	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-69
773	598	ka	This study	Sedimentary	Sediment Layer	971.93	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-70
773	598	ka	This study	Sedimentary	Sediment Layer	972.13	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-71
773	598	ka	This study	Sedimentary	Sediment Layer	972.36	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-72
773	598	ka	This study	Sedimentary	Sediment Layer	972.53	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-73
773	598	ka	This study	Sedimentary	Sediment Layer	972.96	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-74
773	598	ka	This study	Sedimentary	Sediment Layer	973.06	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-75
773	598	ka	This study	Sedimentary	Sediment Layer	973.45	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-76
773	598	ka	This study	Sedimentary	Sediment Layer	973.58	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-77
773	598	ka	This study	Sedimentary	Sediment Layer	973.68	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF8-78
773	598	ka	This study	Sedimentary	Sediment Layer	1184	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-1
773	598	ka	This study	Sedimentary	Sediment Layer	1186.7	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-2
773	598	ka	This study	Sedimentary	Sediment Layer	1192.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-3
773	598	ka	This study	Sedimentary	Sediment Layer	1196.6	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-4
773	598	ka	This study	Sedimentary	Sediment Layer	1198.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-5
773	598	ka	This study	Sedimentary	Sediment Layer	1200.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-6
773	598	ka	This study	Sedimentary	Sediment Layer	1203.1	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-7
773	598	ka	This study	Sedimentary	Sediment Layer	1206	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF9-8
773	598	ka	This study	Sedimentary	Sediment Layer	84	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF10-1
773	598	ka	This study	Sedimentary	Sediment Layer	84.3	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF10-2
773	598	ka	This study	Sedimentary	Sediment Layer	84.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF10-3
773	598	ka	This study	Sedimentary	Sediment Layer	84.9	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF10-4
773	598	ka	This study	Sedimentary	Sediment Layer	320	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF11-1
773	598	ka	This study	Sedimentary	Sediment Layer	320.11	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF11-2
773	598	ka	This study	Sedimentary	Sediment Layer	322.31	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF11-3
773	598	ka	This study	Sedimentary	Sediment Layer	322.37	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF11-4
773	598	ka	This study	Sedimentary	Sediment Layer	322.43	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF11-5
773	598	ka	This study	Sedimentary	Sediment Layer	390	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-1
773	598	ka	This study	Sedimentary	Sediment Layer	390.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-2
773	598	ka	This study	Sedimentary	Sediment Layer	390.21	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-3
773	598	ka	This study	Sedimentary	Sediment Layer	390.28	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-4
773	598	ka	This study	Sedimentary	Sediment Layer	390.48	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-5
773	598	ka	This study	Sedimentary	Sediment Layer	390.85	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-6
773	598	ka	This study	Sedimentary	Sediment Layer	391.12	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-7
773	598	ka	This study	Sedimentary	Sediment Layer	394.22	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-8
773	598	ka	This study	Sedimentary	Sediment Layer	394.82	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-9
773	598	ka	This study	Sedimentary	Sediment Layer	398.52	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-10
773	598	ka	This study	Sedimentary	Sediment Layer	399.92	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-11
773	598	ka	This study	Sedimentary	Sediment Layer	401.82	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-12
773	598	ka	This study	Sedimentary	Sediment Layer	405.92	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF12-13
773	598	ka	This study	Sedimentary	Sediment Layer	500	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-1
773	598	ka	This study	Sedimentary	Sediment Layer	501.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-2
773	598	ka	This study	Sedimentary	Sediment Layer	502.8	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-3
773	598	ka	This study	Sedimentary	Sediment Layer	504.6	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-4
773	598	ka	This study	Sedimentary	Sediment Layer	507.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-5
773	598	ka	This study	Sedimentary	Sediment Layer	512.3	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-6
773	598	ka	This study	Sedimentary	Sediment Layer	513.7	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-7
773	598	ka	This study	Sedimentary	Sediment Layer	516.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-8
773	598	ka	This study	Sedimentary	Sediment Layer	520	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-9
773	598	ka	This study	Sedimentary	Sediment Layer	522.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF13-10
773	598	ka	This study	Sedimentary	Sediment Layer	620	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF14-1
773	598	ka	This study	Sedimentary	Sediment Layer	621.8	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF14-2
773	598	ka	This study	Sedimentary	Sediment Layer	625.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF14-3
773	598	ka	This study	Sedimentary	Sediment Layer	627	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF14-4
773	598	ka	This study	Sedimentary	Sediment Layer	670	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF15-1
773	598	ka	This study	Sedimentary	Sediment Layer	673	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF15-2
773	598	ka	This study	Sedimentary	Sediment Layer	676.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF15-3
773	598	ka	This study	Sedimentary	Sediment Layer	685	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-1
773	598	ka	This study	Sedimentary	Sediment Layer	685.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-2
773	598	ka	This study	Sedimentary	Sediment Layer	690.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-3
773	598	ka	This study	Sedimentary	Sediment Layer	694.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-4
773	598	ka	This study	Sedimentary	Sediment Layer	702.8	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-5
773	598	ka	This study	Sedimentary	Sediment Layer	708.3	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-6
773	598	ka	This study	Sedimentary	Sediment Layer	721.7	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-7
773	598	ka	This study	Sedimentary	Sediment Layer	723	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-8
773	598	ka	This study	Sedimentary	Sediment Layer	735.1	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-9
773	598	ka	This study	Sedimentary	Sediment Layer	745.9	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-10
773	598	ka	This study	Sedimentary	Sediment Layer	760.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-11
773	598	ka	This study	Sedimentary	Sediment Layer	767.7	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-12
773	598	ka	This study	Sedimentary	Sediment Layer	783.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-13
773	598	ka	This study	Sedimentary	Sediment Layer	793.6	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-14
773	598	ka	This study	Sedimentary	Sediment Layer	803.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-15
773	598	ka	This study	Sedimentary	Sediment Layer	814.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-16
773	598	ka	This study	Sedimentary	Sediment Layer	830.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-17
773	598	ka	This study	Sedimentary	Sediment Layer	837.9	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-18
773	598	ka	This study	Sedimentary	Sediment Layer	847	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-19
773	598	ka	This study	Sedimentary	Sediment Layer	859.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF16-20
773	598	ka	This study	Sedimentary	Sediment Layer	738.1	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-21
773	598	ka	This study	Sedimentary	Sediment Layer	738.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-22
