tab	samples											
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
103.8	0	69	400	This study	-33	Sedimentary	Sediment Layer	1203.1	Sandstone	SO-CMD-NORTH	MF9-7	MF9-7
101.5	0	69	400	This study	-40	Sedimentary	Sediment Layer	1206	Sandstone	SO-CMD-NORTH	MF9-8	MF9-8
95.1	0	35	374	This study	-55	Sedimentary	Sediment Layer	84	Sandstone	SO-CMD-NORTH	MF10-1	MF10-1
99.3	0	35	374	This study	-56	Sedimentary	Sediment Layer	84.3	Sandstone	SO-CMD-NORTH	MF10-2	MF10-2
98.8	0	35	374	This study	-40	Sedimentary	Sediment Layer	84.4	Sandstone	SO-CMD-NORTH	MF10-3	MF10-3
109.1	0	35	374	This study	-42	Sedimentary	Sediment Layer	84.9	Sandstone	SO-CMD-NORTH	MF10-4	MF10-4
105.1	0	57	372	This study	-57	Sedimentary	Sediment Layer	320	Sandstone	SO-CMD-NORTH	MF11-1	MF11-1
121	0	57	372	This study	-52	Sedimentary	Sediment Layer	320.11	Sandstone	SO-CMD-NORTH	MF11-2	MF11-2
92.7	0	57	372	This study	-57	Sedimentary	Sediment Layer	322.31	Sandstone	SO-CMD-NORTH	MF11-3	MF11-3
83.3	0	57	372	This study	-62	Sedimentary	Sediment Layer	322.37	Sandstone	SO-CMD-NORTH	MF11-4	MF11-4
86.9	0	57	372	This study	-56	Sedimentary	Sediment Layer	322.43	Sandstone	SO-CMD-NORTH	MF11-5	MF11-5
104.2	0	66	390	This study	-47	Sedimentary	Sediment Layer	390	Sandstone	SO-CMD-NORTH	MF12-1	MF12-1
97.8	0	66	390	This study	-44	Sedimentary	Sediment Layer	390.05	Sandstone	SO-CMD-NORTH	MF12-2	MF12-2
99.7	0	66	390	This study	-50	Sedimentary	Sediment Layer	390.21	Sandstone	SO-CMD-NORTH	MF12-3	MF12-3
95	0	66	390	This study	-48	Sedimentary	Sediment Layer	390.28	Sandstone	SO-CMD-NORTH	MF12-4	MF12-4
150.6	0	66	390	This study	-35	Sedimentary	Sediment Layer	390.48	Sandstone	SO-CMD-NORTH	MF12-5	MF12-5
87.9	0	66	390	This study	-43	Sedimentary	Sediment Layer	390.85	Sandstone	SO-CMD-NORTH	MF12-6	MF12-6
89.5	0	66	390	This study	-31	Sedimentary	Sediment Layer	391.12	Sandstone	SO-CMD-NORTH	MF12-7	MF12-7
-4.6	0	66	390	This study	-26	Sedimentary	Sediment Layer	394.22	Sandstone	SO-CMD-NORTH	MF12-8	MF12-8
63.5	0	66	390	This study	-25	Sedimentary	Sediment Layer	394.82	Sandstone	SO-CMD-NORTH	MF12-9	MF12-9
50.8	0	66	390	This study	-27	Sedimentary	Sediment Layer	398.52	Sandstone	SO-CMD-NORTH	MF12-10	MF12-10
80	0	66	390	This study	-35	Sedimentary	Sediment Layer	399.92	Sandstone	SO-CMD-NORTH	MF12-11	MF12-11
100.6	0	66	390	This study	-39	Sedimentary	Sediment Layer	401.82	Sandstone	SO-CMD-NORTH	MF12-12	MF12-12
116.4	0	66	390	This study	-32	Sedimentary	Sediment Layer	405.92	Sandstone	SO-CMD-NORTH	MF12-13	MF12-13
108.1	0	64	392	This study	-58	Sedimentary	Sediment Layer	500	Sandstone	SO-CMD-NORTH	MF13-1	MF13-1
73.7	0	64	392	This study	-51	Sedimentary	Sediment Layer	501.5	Sandstone	SO-CMD-NORTH	MF13-2	MF13-2
62.9	0	64	392	This study	-67	Sedimentary	Sediment Layer	502.8	Sandstone	SO-CMD-NORTH	MF13-3	MF13-3
99.5	0	64	392	This study	-62	Sedimentary	Sediment Layer	504.6	Sandstone	SO-CMD-NORTH	MF13-4	MF13-4
113.3	0	64	392	This study	-44	Sedimentary	Sediment Layer	507.2	Sandstone	SO-CMD-NORTH	MF13-5	MF13-5
56.2	0	64	392	This study	-68	Sedimentary	Sediment Layer	512.3	Sandstone	SO-CMD-NORTH	MF13-6	MF13-6
85.7	0	64	392	This study	-61	Sedimentary	Sediment Layer	513.7	Sandstone	SO-CMD-NORTH	MF13-7	MF13-7
108.2	0	64	392	This study	-60	Sedimentary	Sediment Layer	516.5	Sandstone	SO-CMD-NORTH	MF13-8	MF13-8
101.1	0	64	392	This study	-24	Sedimentary	Sediment Layer	520	Sandstone	SO-CMD-NORTH	MF13-9	MF13-9
121.9	0	64	392	This study	-32	Sedimentary	Sediment Layer	522.2	Sandstone	SO-CMD-NORTH	MF13-10	MF13-10
79.7	0	67	391	This study	-44	Sedimentary	Sediment Layer	620	Sandstone	SO-CMD-NORTH	MF14-1	MF14-1
123.4	0	67	391	This study	-44	Sedimentary	Sediment Layer	621.8	Sandstone	SO-CMD-NORTH	MF14-2	MF14-2
104.9	0	67	391	This study	-51	Sedimentary	Sediment Layer	625.5	Sandstone	SO-CMD-NORTH	MF14-3	MF14-3
119.3	0	67	391	This study	-28	Sedimentary	Sediment Layer	627	Sandstone	SO-CMD-NORTH	MF14-4	MF14-4
97.4	0	67	391	This study	-33	Sedimentary	Sediment Layer	670	Sandstone	SO-CMD-NORTH	MF15-1	MF15-1
113.1	0	67	391	This study	-30	Sedimentary	Sediment Layer	673	Sandstone	SO-CMD-NORTH	MF15-2	MF15-2
131.5	0	67	391	This study	-33	Sedimentary	Sediment Layer	676.4	Sandstone	SO-CMD-NORTH	MF15-3	MF15-3
92	0	67	391	This study	-43	Sedimentary	Sediment Layer	685	Sandstone	SO-CMD-NORTH	MF16-1	MF16-1
85.2	0	67	391	This study	-42	Sedimentary	Sediment Layer	685.05	Sandstone	SO-CMD-NORTH	MF16-2	MF16-2
74.9	0	67	391	This study	-54	Sedimentary	Sediment Layer	690.5	Sandstone	SO-CMD-NORTH	MF16-3	MF16-3
92.3	0	67	391	This study	-28	Sedimentary	Sediment Layer	694.4	Sandstone	SO-CMD-NORTH	MF16-4	MF16-4
68.7	0	67	391	This study	-37	Sedimentary	Sediment Layer	702.8	Sandstone	SO-CMD-NORTH	MF16-5	MF16-5
104.3	0	67	391	This study	-44	Sedimentary	Sediment Layer	708.3	Sandstone	SO-CMD-NORTH	MF16-6	MF16-6
35.9	0	67	391	This study	-35	Sedimentary	Sediment Layer	721.7	Sandstone	SO-CMD-NORTH	MF16-7	MF16-7
113.5	0	67	391	This study	-35	Sedimentary	Sediment Layer	723	Sandstone	SO-CMD-NORTH	MF16-8	MF16-8
59.3	0	67	391	This study	-45	Sedimentary	Sediment Layer	735.1	Sandstone	SO-CMD-NORTH	MF16-9	MF16-9
103.3	0	67	391	This study	-42	Sedimentary	Sediment Layer	745.9	Sandstone	SO-CMD-NORTH	MF16-10	MF16-10
73.7	0	67	391	This study	-43	Sedimentary	Sediment Layer	760.2	Sandstone	SO-CMD-NORTH	MF16-11	MF16-11
98.3	0	67	391	This study	-53	Sedimentary	Sediment Layer	767.7	Sandstone	SO-CMD-NORTH	MF16-12	MF16-12
80.1	0	67	391	This study	-43	Sedimentary	Sediment Layer	783.5	Sandstone	SO-CMD-NORTH	MF16-13	MF16-13
102.8	0	67	391	This study	-46	Sedimentary	Sediment Layer	793.6	Sandstone	SO-CMD-NORTH	MF16-14	MF16-14
143.4	0	67	391	This study	-50	Sedimentary	Sediment Layer	803.2	Sandstone	SO-CMD-NORTH	MF16-15	MF16-15
94.7	0	67	391	This study	-28	Sedimentary	Sediment Layer	814.5	Sandstone	SO-CMD-NORTH	MF16-16	MF16-16
96.3	0	67	391	This study	-62	Sedimentary	Sediment Layer	830.2	Sandstone	SO-CMD-NORTH	MF16-17	MF16-17
79.8	0	67	391	This study	-51	Sedimentary	Sediment Layer	837.9	Sandstone	SO-CMD-NORTH	MF16-18	MF16-18
39.1	0	67	391	This study	-33	Sedimentary	Sediment Layer	847	Sandstone	SO-CMD-NORTH	MF16-19	MF16-19
121.7	0	67	391	This study	-24	Sedimentary	Sediment Layer	859.2	Sandstone	SO-CMD-NORTH	MF16-20	MF16-20
86.9	0	67	391	This study	-40	Sedimentary	Sediment Layer	738.1	Sandstone	SO-CMD-NORTH	MF16-21	MF16-21
90.8	0	67	391	This study	-38	Sedimentary	Sediment Layer	738.4	Sandstone	SO-CMD-NORTH	MF16-22	MF16-22
54.7	0	67	391	This study	-48	Sedimentary	Sediment Layer	739.5	Sandstone	SO-CMD-NORTH	MF16-23	MF16-23
61.4	0	67	391	This study	-54	Sedimentary	Sediment Layer	739.74	Sandstone	SO-CMD-NORTH	MF16-24	MF16-24
82.3	0	67	391	This study	-37	Sedimentary	Sediment Layer	740.86	Sandstone	SO-CMD-NORTH	MF16-25	MF16-25
77.9	0	67	391	This study	-37	Sedimentary	Sediment Layer	741.26	Sandstone	SO-CMD-NORTH	MF16-26	MF16-26
80.3	0	67	391	This study	-36	Sedimentary	Sediment Layer	746.72	Sandstone	SO-CMD-NORTH	MF16-28	MF16-28
115.1	0	67	391	This study	-56	Sedimentary	Sediment Layer	747.17	Sandstone	SO-CMD-NORTH	MF16-29	MF16-29
122.9	0	67	391	This study	-50	Sedimentary	Sediment Layer	747.51	Sandstone	SO-CMD-NORTH	MF16-30	MF16-30
131.7	0	67	391	This study	-42	Sedimentary	Sediment Layer	748.06	Sandstone	SO-CMD-NORTH	MF16-31	MF16-31
87.8	0	67	391	This study	-53	Sedimentary	Sediment Layer	748.56	Sandstone	SO-CMD-NORTH	MF16-32	MF16-32
98.3	0	67	391	This study	-52	Sedimentary	Sediment Layer	748.75	Sandstone	SO-CMD-NORTH	MF16-33	MF16-33
98.9	0	67	391	This study	-55	Sedimentary	Sediment Layer	749.06	Sandstone	SO-CMD-NORTH	MF16-34	MF16-34
106.6	0	67	391	This study	-52	Sedimentary	Sediment Layer	749.51	Sandstone	SO-CMD-NORTH	MF16-35	MF16-35
96.4	0	67	391	This study	-60	Sedimentary	Sediment Layer	750.16	Sandstone	SO-CMD-NORTH	MF16-36	MF16-36
77.5	0	67	391	This study	-46	Sedimentary	Sediment Layer	783.5	Sandstone	SO-CMD-NORTH	MF16-37	MF16-37
