tab	specimens					
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-75	MF8-75a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-76	MF8-76a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-77	MF8-77a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-78	MF8-78a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-1	MF9-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-2	MF9-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-3	MF9-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-4	MF9-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-5	MF9-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-6	MF9-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-7	MF9-7a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF9-8	MF9-8a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF10-1	MF10-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF10-2	MF10-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF10-3	MF10-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF10-4	MF10-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF11-1	MF11-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF11-2	MF11-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF11-3	MF11-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF11-4	MF11-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF11-5	MF11-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-1	MF12-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-2	MF12-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-3	MF12-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-4	MF12-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-5	MF12-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-6	MF12-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-7	MF12-7a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-8	MF12-8a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-9	MF12-9a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-10	MF12-10a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-11	MF12-11a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-12	MF12-12a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF12-13	MF12-13a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-1	MF13-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-2	MF13-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-3	MF13-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-4	MF13-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-5	MF13-5a
