source,hornblende,oxy-hornblende,enstatite,hypersthene,augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,carbonate,cummingtonite,height (ft),sample
Sonoma Volcanics,9,1,0,4,42,6,2,2,2,2,4,4,20,0,0,0,0,0,2,0,NA,670-SV-29
Sonoma Volcanics,8,3,1,12,34,8,4,3,1,0,4,2,17,0,0,0,0,0,3,0,NA,670-SV-28
Sonoma Volcanics,14,1,3,12,42,5,3,3,0,0,3,1,11,0,1,1,0,0,0,0,NA,670-SV-27
Sonoma Volcanics,8,0,1,13,49,3,4,2,0,1,4,1,11,0,2,0,0,0,1,0,NA,670-SV-26
Sonoma Volcanics,12,2,0,14,45,3,2,2,0,0,2,0,18,0,0,0,0,0,0,0,NA,670-SV-25
Sonoma Volcanics,4,1,2,2,55,15,2,7,7,1,1,2,1,0,0,0,0,0,0,0,NA,670-SV-30
Sonoma Volcanics,16,3,0,1,39,13,7,11,6,2,1,0,1,0,0,0,0,0,0,0,NA,670-SV-31
Sonoma Volcanics,9,0,0,1,36,22,6,10,9,1,2,1,2,0,1,0,0,0,0,0,NA,670-SV-34
Sonoma Volcanics,15,2,0,2,29,18,8,11,4,3,2,4,1,0,0,0,0,0,0,1,NA,670-SV-33
Sonoma Volcanics,16,0,0,4,30,20,5,15,5,0,3,1,1,0,0,0,0,0,0,0,NA,670-SV-32
Great Valley,74,0,1,1,3,12,2,1,0,0,4,0,0,0,2,0,0,0,0,0,NA,670-GV-35
Great Valley,68,0,0,2,4,5,1,0,0,0,13,4,3,0,0,0,0,0,0,0,NA,670-GV-1
Great Valley,72,0,0,2,2,10,8,0,0,0,5,0,1,0,0,0,0,0,0,0,NA,670-GV-2
Great Valley,89,1,0,0,0,4,1,0,0,0,4,1,0,0,0,0,0,0,0,0,NA,670-GV-18
Great Valley,91,0,0,0,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,670-GV-36
Great Valley,70,1,0,3,2,12,2,0,0,0,9,0,1,0,0,0,0,0,0,0,NA,670-GV-37
Great Valley,72,3,0,1,3,13,4,0,0,0,2,1,0,0,0,1,0,0,0,0,NA,670-GV-3
Great Valley,76,3,0,2,3,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,670-GV-4
Great Valley,50,4,0,5,9,4,1,0,0,0,3,0,0,0,1,0,0,0,23,0,NA,670-GV-5
Great Valley,51,5,0,1,8,8,7,0,0,0,2,1,0,0,2,0,0,0,15,0,NA,670-GV-6
Great Valley,57,4,0,5,15,10,5,0,0,0,1,0,1,0,0,1,1,0,0,0,NA,670-GV-7
Great Valley,50,2,0,2,7,24,14,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,670-GV-8
Great Valley,71,3,0,3,2,11,6,0,0,0,1,0,1,0,2,0,0,0,0,0,NA,670-GV-9
Great Valley,64,1,0,1,8,9,15,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,670-GV-10
Great Valley,74,0,0,1,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,670-GV-11
Great Valley,74,4,0,5,5,7,3,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,670-GV-14
Great Valley,71,3,0,1,0,16,8,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,670-GV-15
Great Valley,39,3,0,12,18,20,4,0,0,0,0,0,3,0,0,0,0,0,1,0,NA,670-GV-12
Great Valley,47,2,0,8,9,26,5,0,0,0,1,0,1,0,0,0,0,0,1,0,NA,670-GV-13
