"source","hornblende","oxy.hornblende","enstatite","hypersthene","augite","epidote..clinozoisite","tremolite.actinolite","glaucophane","lawsonite","pumpellyite","sphene","zircon","garnet","rutile","apatite","tourmaline","andalusite","glauconite","carbonate","cummingtonite","height..ft.","sample","strat.pos","pc1","pc2","X","Y","X.1"
"SF Bay",42,2,0,21,16,5,6,0,2,0,3,0,2,0,0,0,0,1,0,0,NA,"670-SFB-496",NA,-4.04755086771663,-2.49695415380033,-122.531865434967,37.8087322610091,NA
"SF Bay",41,1,0,22,16,9,4,1,1,0,4,0,1,0,0,0,0,0,0,0,NA,"670-SFB-464",NA,-2.79310428964833,-1.52773111977872,-122.560111335319,37.7889000331022,NA
"SF Bay",46,4,0,21,13,9,3,0,2,0,1,0,0,0,0,0,0,1,0,0,NA,"670-SFB-460",NA,-4.87823331014041,-4.27282652056458,-122.587455770767,37.7798853840536,NA
"SF Bay",43,3,0,11,13,12,10,0,2,2,1,0,0,0,2,0,0,1,0,0,NA,"670-SFB-369",NA,-2.05139466428327,-4.32198707496406,-122.613042378994,37.8565494721069,NA
"SF Bay",50,3,0,4,12,12,11,0,1,3,1,0,0,0,3,0,0,0,0,0,NA,"670-SFB-339",NA,-1.92752303086592,-2.69147042290031,-122.665255226284,37.8444337837856,NA
"SF Bay",40,3,1,13,15,11,9,1,2,1,2,1,0,0,0,0,0,1,0,0,NA,"670-SFB-342",NA,0.278356069447617,-4.84113283267712,-122.712564104491,37.7570277466102,NA
"SF Bay",26,4,0,14,12,11,3,2,4,1,13,7,1,0,0,0,0,0,2,0,NA,"670-SFB-186",NA,0.0870344126364634,2.05908598272898,-122.325697736175,37.7428597748352,NA
"SF Bay",33,1,0,8,16,13,4,6,6,3,2,4,3,0,1,0,0,0,0,0,NA,"670-SFB-300",NA,2.44023418348573,0.159705171158962,-122.297543184266,37.6533190687651,NA
"SF Bay",7,1,0,2,13,16,11,8,5,1,3,2,3,0,2,0,0,0,26,0,NA,"670-SFB-313",NA,2.54093362760079,3.37438149607853,-122.266850107186,37.594932989807,NA
"Marin Headlands",4,1,2,2,55,15,2,7,7,1,1,2,1,0,0,0,0,0,0,0,NA,"670-SV-30",NA,2.9417418906613,-2.95356097910809,-122.663484860485,38.3015632279542,NA
"Marin Headlands",16,3,0,1,39,13,7,11,6,2,1,0,1,0,0,0,0,0,0,0,NA,"670-SV-31",NA,1.76481683227043,-3.38591445657077,-122.641176608973,38.2929091648675,NA
"Marin Headlands",9,0,0,1,36,22,6,10,9,1,2,1,2,0,1,0,0,0,0,0,NA,"670-SV-34",NA,4.13458000910751,-0.0693367242138044,-122.659253985198,38.269831663303,NA
"Marin Headlands",15,2,0,2,29,18,8,11,4,3,2,4,1,0,0,0,0,0,0,1,NA,"670-SV-33",NA,2.01608905276185,-0.646125581288517,-122.66060017279,38.264446912938,NA
"Marin Headlands",16,0,0,4,30,20,5,15,5,0,3,1,1,0,0,0,0,0,0,0,NA,"670-SV-32",NA,1.13299740159347,-0.0632586826242903,-122.653869234833,38.2609852877033,NA
"Great Valley",74,0,1,1,3,12,2,1,0,0,4,0,0,0,2,0,0,0,0,0,NA,"670-GV-35",NA,-0.00493580626704845,-0.298822192455377,-121.573660025424,37.886979857019,NA
