,site_info,,,,,,,,,,,,,,,,,,,,,
61b,sun compass orientation,0,156,24.0,301.0,67.0,no,94.0,-8.0,2024.0,3.0,8.0,16.0,59.0,1.0,nan,167.9,[13.064963054764588; 61.092591221412185; 47576.19706849882],13.064963054764588,11.900000000000006,167.9,nan
62b,sun compass orientation,0,153,30.0,301.0,67.0,no,90.0,-8.0,2024.0,3.0,8.0,17.0,2.0,1.0,nan,164.4,[13.06496262051943; 61.09259122250137; 47576.196538024604],13.06496262051943,11.400000000000006,164.4,nan
63b,sun compass orientation,0,143,34.0,301.0,67.0,no,441.0,-8.0,2024.0,3.0,8.0,17.0,6.0,1.0,nan,156.1,[13.064962041525856; 61.0925912239536; 47576.19583072565],13.064962041525856,13.099999999999994,156.1,nan
64b,sun compass orientation,0,149,33.0,301.0,67.0,no,446.0,-8.0,2024.0,3.0,8.0,17.0,10.0,1.0,nan,161.7,[13.06496146253229; 61.09259122540579; 47576.195123426696],13.06496146253229,12.699999999999989,161.7,nan
65b,sun compass orientation,0,149,34.0,301.0,67.0,no,445.0,-8.0,2024.0,3.0,8.0,17.0,13.0,1.0,nan,161.2,[13.064961028287101; 61.09259122649499; 47576.1945929525],13.064961028287101,12.199999999999989,161.2,nan
66b,sun compass orientation,0,154,33.0,301.0,67.0,no,90.0,-8.0,2024.0,3.0,8.0,17.0,15.0,1.0,nan,166.5,[13.064960738790296; 61.092591227221085; 47576.19423930302],13.064960738790296,12.5,166.5,nan
67b,mag compass orientation (IGRF corrected),0,153,22.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,166.1,nan
68b,mag compass orientation (IGRF corrected),0,140,21.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,153.1,nan
69b,mag compass orientation (IGRF corrected),0,118,25.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,131.1,nan
70b,mag compass orientation (IGRF corrected),0,152,32.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,165.1,nan
71b,mag compass orientation (IGRF corrected),0,124,33.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,137.1,nan
72b,mag compass orientation (IGRF corrected),0,141,25.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,154.1,nan
73b,mag compass orientation (IGRF corrected),0,131,28.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,144.1,nan
